PS D:\VS_Code_Solutions\VisualRecognition_Labs> & D:\Python\python.exe d:/VS_Code_Solutions/VisualRecognition_Labs/CNN3/classification_pipeline_wtih_bugs.py
[46] loss: 2.0023, accuracy: 0.2618885934352875
[92] loss: 1.8214, accuracy: 0.31589674949645996
[138] loss: 1.7421, accuracy: 0.3491847813129425
[184] loss: 1.7150, accuracy: 0.36922553181648254
[230] loss: 1.6523, accuracy: 0.40013587474823
[276] loss: 1.5898, accuracy: 0.41440218687057495
[322] loss: 1.5928, accuracy: 0.4140625
[368] loss: 1.5376, accuracy: 0.442255437374115
[414] loss: 1.5336, accuracy: 0.4429347813129425
[460] loss: 1.4834, accuracy: 0.45516303181648254
[506] loss: 1.4872, accuracy: 0.45754075050354004
[552] loss: 1.4665, accuracy: 0.47690218687057495
[598] loss: 1.4225, accuracy: 0.4898097813129425
[644] loss: 1.4305, accuracy: 0.48097825050354004
[690] loss: 1.3838, accuracy: 0.5132473111152649
[736] loss: 1.3880, accuracy: 0.4898097813129425
[782] loss: 1.3646, accuracy: 0.5120856165885925
Test accuracy: 45.75%
[46] loss: 1.3963, accuracy: 0.48709240555763245
[92] loss: 1.3441, accuracy: 0.5210598111152649
[138] loss: 1.3530, accuracy: 0.51120924949646
[184] loss: 1.3119, accuracy: 0.5166440010070801
[230] loss: 1.3319, accuracy: 0.5183423757553101
[276] loss: 1.2990, accuracy: 0.5441576242446899
[322] loss: 1.3196, accuracy: 0.530910313129425
[368] loss: 1.3192, accuracy: 0.5383831262588501
[414] loss: 1.2928, accuracy: 0.546875
[460] loss: 1.2867, accuracy: 0.53566575050354
[506] loss: 1.3048, accuracy: 0.524796187877655
[552] loss: 1.2747, accuracy: 0.5431385636329651
[598] loss: 1.2155, accuracy: 0.5709918737411499
[644] loss: 1.2335, accuracy: 0.56589674949646
[690] loss: 1.2720, accuracy: 0.55027174949646
[736] loss: 1.2133, accuracy: 0.5635190010070801
[782] loss: 1.2478, accuracy: 0.5587016344070435
[46] loss: 1.2430, accuracy: 0.5536684989929199
[92] loss: 1.1931, accuracy: 0.5652173757553101
[138] loss: 1.2016, accuracy: 0.56861412525177
[184] loss: 1.1967, accuracy: 0.56691575050354
[230] loss: 1.2027, accuracy: 0.57201087474823
[276] loss: 1.2155, accuracy: 0.5645380616188049
[322] loss: 1.1659, accuracy: 0.58933424949646
[368] loss: 1.1887, accuracy: 0.585597813129425
[414] loss: 1.1768, accuracy: 0.585597813129425
[460] loss: 1.1825, accuracy: 0.5757473111152649
[506] loss: 1.1601, accuracy: 0.5879755616188049
[552] loss: 1.1691, accuracy: 0.5801630616188049
[598] loss: 1.1327, accuracy: 0.5944293737411499
[644] loss: 1.1780, accuracy: 0.58423912525177
[690] loss: 1.1278, accuracy: 0.5995244383811951
[736] loss: 1.1662, accuracy: 0.5930706262588501
[782] loss: 1.1322, accuracy: 0.6042817831039429
[46] loss: 1.0743, accuracy: 0.6165081262588501
[92] loss: 1.1349, accuracy: 0.59205162525177
[138] loss: 1.1310, accuracy: 0.592391312122345
[184] loss: 1.1430, accuracy: 0.59375
[230] loss: 1.1149, accuracy: 0.601902186870575
[276] loss: 1.1077, accuracy: 0.6165081262588501
